assetNumber,reportingPeriodBeginningDate,reportingPeriodEndingDate,originalLoanAmount,originalLoanTerm,originalInterestRatePercentage,subvented,vehicleNewUsedCode,vehicleModelYear,vehicleTypeCode,vehicleValueAmount,obligorCreditScore,obligorIncomeVerificationLevelCode,obligorEmploymentVerificationCode,coObligorIndicator,paymentToIncomePercentage,obligorGeographicLocation,remainingTermToMaturityNumber,reportingPeriodBeginningLoanBalanceAmount,reportingPeriodActualEndBalanceAmount,totalActualAmountPaid,zeroBalanceCode,currentDelinquencyStatus,LTV,loanDiff,StateUnemployment
10418824,6/1/2017,6/30/2017,15739,60,0.21,0,2,2008,1,14250,-,3,3,1,0.07643357,OK,26,8776.39,0,8872.33,1,0,110.4491228,6962.61,4.3
1094773,6/1/2017,6/30/2017,15665.75,72,0.24,0,2,2010,1,12775,548,3,2,0,0.12504316,IA,13,4739.21,0,4911.36,1,0,122.62818,10926.54,3.2
1105270,6/1/2017,6/30/2017,13046.57,72,0.2499,0,2,2005,1,12599,470,3,3,0,0.14307954,AZ,12,4143.22,0,4323.71,1,0,103.5524248,8903.35,5.1
1166730,6/1/2017,6/30/2017,13942,72,0.241,0,2,2005,2,11599,518,3,3,0,0.14781474,TX,13,2384.08,0,2431.3,1,0,120.2000172,11557.92,4.6
1110539,6/1/2017,6/30/2017,13648.16,72,0.2499,0,2,2009,1,11998,-,3,3,1,0.14055346,NV,12,4109.14,0,4218.86,1,0,113.7536256,9539.02,4.7
1203404,6/1/2017,6/30/2017,19617.25,72,0.1823,0,2,2010,1,15950,537,3,3,1,0.0845082,FL,16,10857.93,0,11402.4,1,0,122.992163,8759.32,4.1
13240852,6/1/2017,6/30/2017,12502.04,36,0.2201,0,2,2012,1,11275,-,2,2,0,0.12649801,TX,15,6531.4,0,6700.76,1,0,110.8828381,5970.64,4.6
1337768,6/1/2017,6/30/2017,23800,72,0.21,0,1,2012,1,23531,499,3,3,0,0.07732114,OK,12,5906.44,0,6001.59,1,0,101.1431728,17893.56,4.3
1388217,6/1/2017,6/30/2017,23312.87,72,0.1397,0,1,2012,3,20259.09,654,3,3,1,0.05579332,FL,17,8198.57,0,8644.09,1,0,115.0736287,15114.3,4.1
14300741,6/1/2017,6/30/2017,12439.57,72,0.2061,0,2,2012,1,10200,-,3,3,0,0.14796899,TX,53,10531.89,0,10804.04,1,0,121.9565686,1907.68,4.6
14578318,6/1/2017,6/30/2017,15094.12,72,0.1445,0,2,2008,1,12050,693,2,2,0,0.158285,TX,55,12669.97,0,12893.82,1,0,125.2624066,2424.15,4.6
1485008,6/1/2017,6/30/2017,12685.48,72,0.241,0,2,2006,1,13225,534,3,3,0,0.1288821,MO,15,7499.99,0,7886.25,1,0,95.92045369,5185.49,3.8
14879376,6/1/2017,6/30/2017,13523,72,0.2449,0,2,2009,1,12300,600,2,2,0,0.16518636,MI,56,12052.87,0,12174.18,1,0,109.9430894,1470.13,3.8
1536955,6/1/2017,6/30/2017,18862.66,72,0.2094,0,2,2007,3,14501,-,3,3,1,0.07274254,CA,14,5613.84,0,5749.11,1,0,130.0783394,13248.82,4.7
1612131,6/1/2017,6/30/2017,19048.01,72,0.1823,0,2,2012,3,14875,521,3,3,1,0.12996918,FL,13,5103.56,0,5195.33,1,0,128.0538487,13944.45,4.1
1635534,6/1/2017,6/30/2017,15122.25,72,0.2599,0,2,2009,1,13759,506,3,3,1,0.1476399,AZ,16,1385.1,0,1474.84,1,0,109.9080602,13737.15,5.1
1631429,6/1/2017,6/30/2017,24382.02,72,0.18,0,2,2010,3,21599,463,3,3,1,0.08946756,TX,24,11769.04,0,12508.32,1,0,112.8849484,12612.98,4.6
1683517,6/1/2017,6/30/2017,12739.31,72,0.2264,0,2,2009,1,9785,560,3,3,0,0.16921107,NM,15,975.59,0,995.78,1,0,130.192233,11763.72,6.4
1774614,6/1/2017,6/30/2017,22503.9,72,0.241,0,2,2006,2,19998,-,3,3,0,0.15986684,TX,16,8615.82,0,8863.14,1,0,112.5307531,13888.08,4.6
1761389,6/1/2017,6/30/2017,13665,72,0.2333,0,2,2009,1,9775,539,3,2,0,0.11080178,OH,28,9047.08,0,9719.17,1,0,139.7953964,4617.92,5
1873706,6/1/2017,6/30/2017,23798.95,72,0.2057,0,2,2009,2,20005,479,3,3,1,0.10486108,HI,18,11523.93,0,12124.37,1,0,118.9650087,12275.02,2.8
1933719,6/1/2017,6/30/2017,13691.84,72,0.21,0,2,2002,2,11849,441,3,2,0,0.0991138,OK,16,781.66,0,801.9,1,0,115.5527049,12910.18,4.3
1963607,6/1/2017,6/30/2017,19253.86,72,0.2499,0,2,2012,1,16998,-,3,3,0,0.11033195,GA,16,6966.72,0,7057.35,1,0,113.271326,12287.14,4.8
1958578,6/1/2017,6/30/2017,31538.15,72,0.2061,0,2,2008,3,27998,511,2,1,1,0.0886684,TX,16,10993.11,0,11291.06,1,0,112.644296,20545.04,4.6
2002827,6/1/2017,6/30/2017,17430,72,0.2499,0,2,2007,1,13225,530,3,3,1,0.13069341,NY,15,6033.13,0,6144.65,1,0,131.7958412,11396.87,4.5
2072041,6/1/2017,6/30/2017,19972.55,72,0.1678,1,1,2012,1,21721,481,3,3,0,0.16660238,FL,18,7996.36,0,8144,1,0,91.95041665,11976.19,4.1
4133825,6/1/2017,6/30/2017,17352.16,72,0.2499,0,2,2006,1,15998,503,3,3,1,0.11565952,NV,10,7239.46,0,7300.22,1,0,108.4645581,10112.7,4.7
3855903,6/1/2017,6/30/2017,10619.78,72,0.2499,0,2,2007,1,9998,-,3,3,0,0.14253446,VA,14,3259.06,0,3772.43,1,0,106.2190438,7360.72,3.7
4913444,6/1/2017,6/30/2017,16700,72,0.2499,0,2,2010,1,15975,-,3,3,0,0.16017993,VA,5,595.11,0,611.82,1,0,104.5383412,16104.89,3.7
5761989,6/1/2017,6/30/2017,11208.32,72,0.2499,0,2,2006,1,11599,-,2,1,0,0.12047036,CA,27,7472.59,0,7572.53,1,0,96.6317786,3735.73,4.7
6103633,6/1/2017,6/30/2017,12867.75,60,0.21,0,2,2011,1,10350,492,3,3,1,0.1470088,MS,16,5327.73,0,5430.49,1,0,124.326087,7540.02,5
6107546,6/1/2017,6/30/2017,29341.69,72,0.203,1,1,2013,3,21364,542,3,3,1,0.12069857,OK,28,16833.85,0,17156.24,1,0,137.3417431,12507.84,4.3
6112087,6/1/2017,6/30/2017,20586.5,72,0.2061,0,2,2010,1,15075,-,2,2,1,0.13458933,TX,34,15958.07,0,0,4,38,136.5605307,4628.43,4.6
6163405,6/1/2017,6/30/2017,17146.9,72,0.2169,0,2,2009,1,12950,498,2,2,0,0.13796452,MI,28,10084.9,0,10536.56,1,0,132.4084942,7062,3.8
6211716,6/1/2017,6/30/2017,14126.24,72,0.2499,0,2,2002,1,9998,589,3,3,0,0.18753544,GA,31,9280.19,0,9591.54,1,0,141.2906581,4846.05,4.8
6264987,6/1/2017,6/30/2017,12498.05,72,0.2629,0,2,2010,1,9161,-,3,3,0,0.16883198,NM,31,8573.35,0,8856.35,1,0,136.4267001,3924.7,6.4
6260886,6/1/2017,6/30/2017,11760.2,72,0.25,0,2,2007,1,9275,439,3,3,1,0.147094,WV,33,9236.22,0,9917.18,1,0,126.7946092,2523.98,4.6
6339239,6/1/2017,6/30/2017,12979.76,60,0.18,0,2,2008,1,9950,502,2,2,1,0.11877477,FL,20,7845.58,0,7988.73,1,0,130.4498492,5134.18,4.1
