assetNumber,reportingPeriodBeginningDate,reportingPeriodEndingDate,originalLoanAmount,originalLoanTerm,originalInterestRatePercentage,subvented,vehicleNewUsedCode,vehicleModelYear,vehicleTypeCode,vehicleValueAmount,obligorCreditScore,obligorIncomeVerificationLevelCode,obligorEmploymentVerificationCode,coObligorIndicator,paymentToIncomePercentage,obligorGeographicLocation,remainingTermToMaturityNumber,reportingPeriodBeginningLoanBalanceAmount,reportingPeriodActualEndBalanceAmount,totalActualAmountPaid,zeroBalanceCode,currentDelinquencyStatus,LTV,loanDiff,StateUnemployment
6345822,9/1/2017,9/30/2017,12515,60,0.21,0,2,2003,3,11998,574,2,2,1,0.07762273,CO,24,9793.59,0,0,4,45,104.3090515,2721.41,2.5
10406302,9/1/2017,9/30/2017,23681,72,0.2599,0,2,2011,1,21599,582,2,2,0,0.12560381,GA,45,23681,0,0,4,114,109.6393352,0,4.4
1044880,9/1/2017,9/30/2017,13053.91,72,0.18,0,2,2010,1,10775,597,2,1,0,0.16540556,TX,9,2623.8,0,2681.14,1,0,121.1499768,10430.11,4
10625797,9/1/2017,9/30/2017,19530,72,0.18,0,2,2012,1,17175,579,2,2,1,0.09034844,AR,42,16786.11,0,0,4,141,113.7117904,2743.89,3.5
10671490,9/1/2017,9/30/2017,21535.16,72,0.18,0,2,2014,1,18525,541,2,2,0,0.13022368,TX,45,20142.78,0,0,4,144,116.2491768,1392.38,4
10696609,9/1/2017,9/30/2017,24200.07,72,0.18,0,1,2014,1,18626.03,563,2,2,0,0.15445278,TX,44,0,0,0,4,150,129.9260766,24200.07,4
10691310,9/1/2017,9/30/2017,15775.55,72,0.2573,0,2,2009,1,11750,-,3,3,0,0.16975396,GA,36,9676.99,0,9827.07,1,0,134.26,6098.56,4.4
10698716,9/1/2017,9/30/2017,17822.21,72,0.2483,0,2,2012,1,14925,506,2,2,0,0.17091071,VA,41,14769.26,0,0,4,138,119.4117923,3052.95,3.7
1075618,9/1/2017,9/30/2017,18646.4,72,0.2316,0,1,2012,1,18115,538,3,3,0,0.13927953,NM,12,6944.02,0,7092.98,1,0,102.9334805,11702.38,6.2
1115520,9/1/2017,9/30/2017,13825,72,0.2061,0,2,2008,1,9825,563,3,2,0,0.17051458,TX,18,9656.09,0,0,4,105,140.7124682,4168.91,4
1122758,9/1/2017,9/30/2017,12064.74,72,0.2499,0,2,2006,1,10998,570,3,3,0,0.08985879,CA,17,0,0,0,4,130,109.6993999,12064.74,5.1
1203417,9/1/2017,9/30/2017,19055.4,72,0.23,1,1,2012,3,18525,-,3,3,0,0.16903118,AZ,18,6103.24,0,0,3,0,102.8631579,12952.16,4.7
