Date,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
1/1/2017,6.50,6.40,3.80,5.00,5.20,2.90,4.50,5.70,4.40,5.00,5.50,2.80,3.40,3.60,5.70,4.00,4.10,5.00,5.90,3.20,4.20,3.50,5.20,4.00,4.20,5.50,3.90,5.30,3.00,3.30,2.70,4.60,6.70,5.00,4.60,5.00,4.70,4.30,5.20,4.80,4.40,2.90,5.40,4.80,3.10,4.00,3.10,5.10,3.90,5.60,4.80
2/1/2017,6.40,6.20,3.70,5.10,5.00,2.90,4.70,5.70,4.50,5.00,5.30,2.80,3.20,3.60,5.40,4.10,4.00,5.00,5.80,3.40,4.20,3.20,5.30,4.00,4.10,5.20,3.90,5.10,3.00,3.20,2.70,4.50,6.80,4.90,4.40,5.10,4.50,4.00,5.00,4.50,4.40,2.80,5.30,4.90,3.10,3.90,3.00,4.90,3.70,5.20,4.70
3/1/2017,6.40,5.80,3.60,5.00,4.90,2.60,4.80,5.80,4.50,4.80,5.10,2.70,3.10,3.50,4.90,3.90,3.80,5.00,5.70,3.60,4.20,3.00,5.00,3.80,3.90,5.10,3.80,4.90,2.80,3.10,2.80,4.20,6.70,4.80,4.30,5.10,4.30,3.80,4.80,4.30,4.40,2.80,5.10,5.00,3.10,3.80,3.00,4.70,3.40,4.90,4.50
4/1/2017,6.60,5.40,3.50,5.00,4.80,2.30,4.90,5.90,4.60,4.50,5.00,2.70,3.10,3.40,4.70,3.60,3.70,5.10,5.80,3.90,4.30,3.00,4.70,3.80,3.90,5.00,3.80,4.70,2.70,3.00,2.80,4.10,6.70,4.70,4.30,5.00,4.30,3.70,4.90,4.30,4.30,2.80,4.70,5.00,3.10,3.80,3.10,4.60,3.20,4.80,4.30
5/1/2017,6.70,4.90,3.40,5.10,4.70,2.30,4.90,6.00,4.70,4.30,4.90,2.70,3.10,3.20,4.60,3.20,3.70,5.00,5.70,4.20,4.20,3.20,4.20,3.70,3.90,4.90,3.90,4.50,2.50,2.90,2.90,4.10,6.60,4.70,4.40,4.90,4.30,3.60,5.00,4.10,4.10,2.90,4.00,4.80,3.20,3.80,3.20,4.50,3.10,4.50,4.10
6/1/2017,6.80,4.60,3.40,5.10,4.70,2.30,5.00,6.10,4.70,4.10,4.80,2.80,3.20,3.10,4.70,3.00,3.70,5.10,5.40,4.30,4.10,3.50,3.80,3.70,3.80,5.00,3.90,4.20,2.30,2.90,2.90,4.10,6.40,4.70,4.50,5.00,4.30,3.70,5.00,4.20,3.90,3.00,3.60,4.60,3.40,3.70,3.20,4.50,3.10,4.60,3.90
7/1/2017,7.00,4.50,3.40,5.10,4.80,2.40,5.00,6.40,4.80,4.10,4.70,2.70,3.20,3.00,4.80,3.10,3.70,5.40,5.30,4.30,4.00,3.70,3.70,3.70,3.80,5.20,3.90,4.10,2.30,2.80,2.80,4.20,6.30,4.80,4.70,5.20,4.40,3.80,5.00,4.30,3.90,3.10,3.40,4.30,3.50,3.80,3.10,4.50,3.20,4.70,4.00
8/1/2017,7.20,4.20,3.50,5.00,5.10,2.40,4.80,6.40,4.90,4.00,4.70,2.60,3.30,2.90,5.00,3.50,3.90,5.50,5.20,4.20,3.90,3.80,3.90,3.80,3.90,5.30,3.90,4.10,2.30,2.80,2.70,4.50,6.30,4.90,4.80,5.40,4.50,4.10,4.90,4.30,4.00,3.30,3.30,4.20,3.50,3.80,3.00,4.60,3.40,5.00,4.00
9/1/2017,7.20,3.80,3.50,4.70,5.10,2.50,4.60,6.50,4.90,3.80,4.40,2.50,3.20,2.80,5.00,3.80,3.80,5.20,5.10,3.90,3.80,3.70,4.30,3.70,3.80,5.20,3.90,4.10,2.40,2.80,2.70,4.70,6.20,4.90,4.90,5.30,4.50,4.20,4.80,4.20,3.90,3.40,3.00,4.00,3.40,3.70,2.90,4.60,3.50,5.10,4.00
10/1/2017,7.20,3.60,3.60,4.50,4.90,2.70,4.50,6.60,4.80,3.60,4.30,2.20,3.00,2.90,4.90,3.90,3.60,5.00,4.80,3.70,3.80,3.50,4.50,3.30,3.50,4.90,3.90,4.10,2.50,2.70,2.70,4.90,6.10,5.00,4.80,5.10,4.40,4.30,4.70,4.20,3.90,3.50,3.00,3.90,3.30,3.60,2.90,4.50,3.40,5.10,4.20
